"","name","alignment","gender","race","eye","hair","height_cm","weight_kg","publisher"
"64","Cheetah","bad","female","human","green","blond",163,50,"dc"
"65","Cheetah II","bad","female","human","green","burnette",170,55,"dc"
"66","Cheetah III","bad","female","human","brown","burnette",175,54,"dc"
"67","Citizen Steel","good","male","human","green","red",183,170,"dc"
"68","Clock King","bad","male","human","blue","burnette",178,78,"dc"
"69","Colossus","good","male","human","silver","burnette",226,225,"marvel"
"70","Cottonmouth","bad","male","human","brown","burnette",183,99,"marvel"
"71","Crystal","good","female","human","green","red",168,50,"marvel"
"72","Cyborg","good","male","robot","brown","burnette",198,173,"dc"
"73","Cyclops","good","male","human","brown","burnette",191,88,"marvel"
"74","Daredevil","good","male","human","blue","red",183,90,"marvel"
"75","Darkhawk","good","male","human","brown","burnette",185,81,"marvel"
"76","Darkseid","bad","male","diety","red","no hair",267,817,"dc"
"77","Darkstar","good","female","human","brown","blond",168,56,"marvel"
"78","Dazzler","good","female","human","blue","blond",173,52,"marvel"
"79","Deadman","good","male","human","blue","burnette",183,90,"dc"
"80","Deadshot","bad","male","human","brown","burnette",185,91,"dc"
"81","Deathlok","good","male","robot","brown","silver",193,178,"marvel"
"82","Demogoblin","bad","male","demon","red","no hair",185,95,"marvel"
"83","Diamondback","bad","male","human","brown","burnette",193,90,"marvel"
"84","Doc Samson","good","male","human","blue","green",198,171,"marvel"
"85","Doctor Doom","bad","male","human","brown","burnette",201,187,"marvel"
"86","Doctor Fate","good","male","human","blue","blond",188,89,"dc"
"87","Doctor Octopus","bad","male","human","brown","burnette",175,110,"marvel"
"88","Doctor Strange","good","male","human","silver","burnette",188,81,"marvel"
"89","Domino","good","female","human","blue","burnette",173,54,"marvel"
"90","Donna Troy","good","female","amazon/atlantean","blue","burnette",175,63,"dc"
"91","Doomsday","bad","male","alien","red","white",244,412,"dc"
"92","Drax the Destroyer","good","male","human","red","no hair",193,306,"marvel"
"93","Electro","bad","male","human","blue","red",180,74,"marvel"
"94","Elektra","good","female","human","blue","burnette",175,59,"marvel"
"95","Enchantress","good","female","human","blue","blond",168,57,"dc"
"96","Evil Deadpool","bad","male","human","white","red",188,95,"marvel"
"97","Evilhawk","bad","male","alien","red","burnette",191,106,"marvel"
"98","Exodus","bad","male","human","blue","burnette",183,88,"marvel"
"99","Falcon","good","male","human","brown","burnette",188,108,"marvel"
"100","Fin Fang Foom","good","male","alien","red","no hair",975,18,"marvel"
"101","Firestar","good","female","human","green","red",173,56,"marvel"
"102","Firestorm","good","male","human","blue","red",188,91,"dc"
"103","Flash","good","male","human","blue","mixed",180,81,"dc"
"104","Flash II","good","male","human","blue","blond",183,88,"dc"
"105","Flash IV","good","male","human","yellow","red",157,52,"dc"
"106","Franklin Richards","good","male","human","blue","blond",142,45,"marvel"
"107","Gambit","good","male","human","red","burnette",185,81,"marvel"
"108","Gamora","good","female","mixed-race","yellow","burnette",183,77,"marvel"
"109","Ghost Rider","good","male","demon","red","no hair",188,99,"marvel"
"110","Gorilla Grodd","bad","male","animal","yellow","burnette",198,270,"dc"
"111","Gravity","good","male","human","blue","burnette",178,79,"marvel"
"112","Green Arrow","good","male","human","green","blond",188,88,"dc"
"113","Green Goblin","bad","male","human","blue","red",180,83,"marvel"
"114","Guy Gardner","good","male","mixed-race","blue","red",188,95,"dc"
"115","Hal Jordan","good","male","human","brown","burnette",188,90,"dc"
"116","Harley Quinn","bad","female","human","blue","blond",170,63,"dc"
"117","Havok","good","male","human","blue","blond",183,79,"marvel"
"118","Hawkeye","good","male","human","blue","blond",191,104,"marvel"
"119","Hawkeye II","good","female","human","blue","burnette",165,57,"marvel"
"120","Heat Wave","bad","male","human","blue","no hair",180,81,"dc"
"121","Hela","bad","female","alien","green","burnette",213,225,"marvel"
"122","Hellcat","good","female","human","blue","red",173,61,"marvel"
"123","Hercules","good","male","diety","blue","burnette",196,146,"marvel"
"124","Hulk","good","male","human","green","green",244,630,"marvel"
"125","Human Torch","good","male","human","blue","blond",178,77,"marvel"
"126","Husk","good","female","human","blue","blond",170,58,"marvel"
"127","Hybrid","good","male","alien","brown","burnette",175,77,"marvel"
"128","Hyperion","good","male","alien","blue","red",183,207,"marvel"
"129","Iceman","good","male","human","brown","burnette",173,65,"marvel"
"130","Impulse","good","male","human","yellow","red",170,65,"dc"
"131","Ink","good","male","human","blue","no hair",180,81,"marvel"
"132","Invisible Woman","good","female","human","blue","blond",168,54,"marvel"
"133","Iron Fist","good","male","human","blue","blond",180,79,"marvel"
"134","Iron Man","good","male","human","blue","burnette",198,191,"marvel"
"135","Jack of Hearts","good","male","human","mixed","burnette",155,79,"marvel"
"136","Jean Grey","good","female","human","green","red",168,52,"marvel"
"137","Jessica Jones","good","female","human","brown","burnette",170,56,"marvel"
"138","John Stewart","good","male","human","green","burnette",185,90,"dc"
"139","Joker","bad","male","human","green","green",196,86,"dc"
"140","Jubilee","good","female","human","red","burnette",165,52,"marvel"
"141","Justice","good","male","human","brown","burnette",178,81,"marvel"
"142","Karate Kid","good","male","human","brown","burnette",173,72,"dc"
"143","Killer Croc","bad","male","human","red","no hair",244,356,"dc"
"144","Kilowog","good","male","alien","red","no hair",234,324,"dc"
"145","Kingpin","bad","male","human","blue","no hair",201,203,"marvel"
"146","Klaw","bad","male","human","red","no hair",188,97,"marvel"
"147","Kraven II","bad","male","human","brown","burnette",191,99,"marvel"
"148","Kraven the Hunter","bad","male","human","brown","burnette",183,106,"marvel"
"149","Krypto","good","male","alien","blue","white",64,18,"dc"
"150","Kyle Rayner","good","male","human","green","burnette",180,79,"dc"
"151","Lady Deathstrike","bad","female","robot","brown","burnette",175,58,"marvel"
"152","Legion","good","male","human","mixed","burnette",175,59,"marvel"
"153","Lex Luthor","bad","male","human","green","no hair",188,95,"dc"
"154","Lizard","bad","male","human","red","no hair",203,230,"marvel"
"155","Loki","bad","male","alien","green","burnette",193,236,"marvel"
"156","Longshot","good","male","human","blue","blond",188,36,"marvel"
"157","Luke Cage","good","male","human","brown","burnette",198,191,"marvel"
"158","Magneto","bad","male","human","silver","white",188,86,"marvel"
"159","Mandarin","bad","male","human","blue","white",188,97,"marvel"
"160","Mantis","good","female","mixed-race","green","burnette",168,52,"marvel"
"161","Martian Manhunter","good","male","alien","red","no hair",201,135,"dc"
"162","Medusa","good","female","human","green","red",180,59,"marvel"
"163","Mera","good","female","amazon/atlantean","blue","red",175,72,"dc"
"164","Metallo","bad","male","robot","green","burnette",196,90,"dc"
"165","Mister Fantastic","good","male","human","brown","burnette",185,81,"marvel"
"166","Mister Sinister","bad","male","human","red","burnette",196,128,"marvel"
"167","Mockingbird","good","female","human","blue","blond",175,61,"marvel"
"168","MODOK","bad","male","robot","white","burnette",366,338,"marvel"
"169","Moon Knight","good","male","human","brown","burnette",188,101,"marvel"
"170","Mr Immortal","good","male","human","blue","blond",188,70,"marvel"
"171","Mysterio","bad","male","human","brown","no hair",180,79,"marvel"
"172","Mystique","bad","female","human","yellow","mixed",178,54,"marvel"
"173","Namor","good","male","amazon/atlantean","silver","burnette",188,125,"marvel"
"174","Nebula","bad","female","alien","blue","no hair",185,83,"marvel"
"175","Nick Fury","good","male","human","brown","mixed",185,99,"marvel"
"176","Nightwing","good","male","human","blue","burnette",178,79,"dc"
"177","Nova","good","male","human","brown","burnette",185,86,"marvel"
"178","Nova","good","female","mixed-race","white","red",163,59,"marvel"
"179","Odin","good","male","diety","blue","white",206,293,"marvel"
"180","Onslaught","bad","male","human","red","no hair",305,405,"marvel"
"181","Oracle","good","female","human","blue","red",178,59,"dc"
"182","Penguin","bad","male","human","blue","burnette",157,79,"dc"
"183","Phoenix","good","female","human","green","red",168,52,"marvel"
"184","Plantman","bad","male","human","green","silver",183,87,"marvel"
"185","Plastic Man","good","male","human","blue","burnette",185,80,"dc"
"186","Poison Ivy","bad","female","human","green","red",168,50,"dc"
"187","Polaris","good","female","human","green","green",170,52,"marvel"
"188","Power Girl","good","female","alien","blue","blond",180,81,"dc"
"189","Professor X","good","male","human","blue","no hair",183,86,"marvel"
"190","Professor Zoom","bad","male","human","blue","blond",180,81,"dc"
"191","Psylocke","good","female","human","blue","purple",180,70,"marvel"
"192","Punisher","good","male","human","blue","burnette",183,90,"marvel"
"193","Purple Man","bad","male","human","purple","purple",180,74,"marvel"
"194","Question","good","male","human","blue","blond",188,83,"dc"
"195","Quicksilver","good","male","human","blue","silver",183,79,"marvel"
"196","Ra's Al Ghul","bad","male","human","green","silver",193,97,"dc"
"197","Ray","good","male","human","green","red",178,70,"dc"
"198","Red Arrow","good","male","human","green","red",180,83,"dc"
"199","Red Robin","good","male","human","blue","burnette",165,56,"dc"
"200","Red Tornado","good","male","robot","green","no hair",185,146,"dc"
"201","Rhino","bad","male","human","brown","burnette",196,320,"marvel"
"202","Robin","good","male","human","blue","burnette",178,79,"dc"
"203","Robin II","good","male","human","blue","red",183,101,"dc"
"204","Robin III","good","male","human","blue","burnette",165,56,"dc"
"205","Robin V","good","male","human","blue","burnette",137,38,"dc"
"206","Rocket Raccoon","good","male","animal","brown","burnette",122,25,"marvel"
"207","Ronin","good","male","human","blue","blond",191,104,"marvel"
"208","Rorschach","good","male","human","blue","red",168,63,"dc"
"209","Sabretooth","bad","male","human","brown","blond",198,171,"marvel"
"210","Scarecrow","bad","male","human","blue","burnette",183,63,"dc"
"211","Scarlet Spider","good","male","human","blue","blond",178,74,"marvel"
"212","Scarlet Spider II","good","male","human","brown","burnette",193,113,"marvel"
"213","Scarlet Witch","bad","female","human","blue","burnette",170,59,"marvel"
"214","Scorpion","bad","male","human","brown","burnette",211,310,"marvel"
"215","Shadow Lass","good","female","alien","black","burnette",173,54,"dc"
"216","Shadowcat","good","female","human","brown","burnette",168,50,"marvel"
"217","Shang-Chi","good","male","human","brown","burnette",178,79,"marvel"
"218","She-Hulk","good","female","human","green","green",201,315,"marvel"
"219","She-Thing","good","female","human","blue","no hair",183,153,"marvel"
"220","Shocker","bad","male","human","brown","burnette",175,79,"marvel"
"221","Sif","good","female","alien","blue","burnette",188,191,"marvel"
"222","Silver Surfer","good","male","alien","white","no hair",193,101,"marvel"
"223","Siren","bad","female","amazon/atlantean","blue","purple",175,72,"dc"
"224","Solomon Grundy","bad","male","undead","black","white",279,437,"dc"
"225","Spider-Girl","good","female","human","blue","burnette",170,54,"marvel"
"226","Spider-Gwen","good","female","human","blue","blond",165,56,"marvel"
"227","Spider-Man","good","male","human","brown","burnette",178,74,"marvel"
"228","Spider-Man","good","other","human","red","burnette",178,77,"marvel"
"229","Spider-Man","good","male","human","brown","burnette",157,56,"marvel"
"230","Spider-Woman","good","female","human","green","burnette",178,59,"marvel"
"231","Spyke","good","male","human","brown","blond",183,83,"marvel"
"232","Star-Lord","good","male","mixed-race","blue","blond",188,79,"marvel"
"233","Starfire","good","female","alien","green","red",193,71,"dc"
"234","Stargirl","good","female","human","blue","blond",165,62,"dc"
"235","Static","good","male","human","brown","burnette",170,63,"dc"
"236","Steppenwolf","bad","male","diety","red","burnette",183,91,"dc"
"237","Storm","good","female","human","blue","white",180,57,"marvel"
"238","Sunspot","good","male","human","brown","burnette",173,77,"marvel"
"239","Superboy-Prime","bad","male","alien","blue","mixed",180,77,"dc"
"240","Supergirl","good","female","alien","blue","blond",165,54,"dc"
"241","Superman","good","male","alien","blue","burnette",191,101,"dc"
"242","Swarm","bad","male","human","yellow","no hair",196,47,"marvel"
"243","Taskmaster","bad","male","human","brown","burnette",188,99,"marvel"
"244","Thanos","bad","male","alien","red","no hair",201,443,"marvel"
"245","Thing","good","male","human","blue","no hair",183,225,"marvel"
"246","Thor","good","male","alien","blue","blond",198,288,"marvel"
"247","Thor Girl","good","female","alien","blue","blond",175,143,"marvel"
"248","Tiger Shark","bad","male","human","silver","no hair",185,203,"marvel"
"249","Toxin","good","male","alien","blue","burnette",188,97,"marvel"
"250","Toxin","good","male","alien","black","blond",191,117,"marvel"
"251","Triton","good","male","human","green","no hair",188,86,"marvel"
"252","Utgard-Loki","bad","male","alien","blue","white",15.2,58,"marvel"
"253","Venom","bad","male","alien","blue","blond",191,117,"marvel"
"254","Venom III","bad","male","alien","brown","burnette",229,334,"marvel"
"255","Vibe","good","male","human","brown","burnette",178,71,"dc"
"256","Vindicator","good","female","human","green","red",165,54,"marvel"
"257","Vision","good","male","robot","yellow","no hair",191,135,"marvel"
"258","Vixen","good","female","human","brown","burnette",175,63,"dc"
"259","Vulture","bad","male","human","brown","no hair",180,79,"marvel"
"260","Walrus","bad","male","human","blue","burnette",183,162,"marvel"
"261","War Machine","good","male","human","brown","burnette",185,95,"marvel"
"262","Warpath","good","male","human","brown","burnette",218,158,"marvel"
"263","Wasp","good","female","human","blue","red",163,50,"marvel"
"264","Winter Soldier","good","male","human","brown","burnette",175,117,"marvel"
"265","Wolverine","good","male","human","blue","burnette",160,135,"marvel"
"266","Wonder Girl","good","female","diety","blue","blond",165,51,"dc"
"267","Wonder Woman","good","female","amazon/atlantean","blue","burnette",183,74,"dc"
"268","X-23","good","female","human","green","burnette",155,50,"marvel"
"269","Yellowjacket","good","male","human","blue","blond",183,83,"marvel"
"270","Yellowjacket II","good","female","human","blue","blond",165,52,"marvel"
"271","Zatanna","good","female","human","blue","burnette",170,57,"dc"
