,name,alignment,gender,race,eye,hair,height_cm,weight_kg,publisher
240,Elongated Man,good,male,human,blue,ginger,185,80,dc
241,Emma Frost,good,female,human,blue,blond,178,65,marvel
244,Wildfire,good,male,human,NA,no hair,NA,NA,dc
250,Fabian Cortez,bad,other,human,blue,burnette,196,96,marvel
253,Faora,bad,female,alien,black,burnette,170,68,dc
254,Feral,good,other,human,yellow,mixed,175,50,marvel
255,Fighting Spirit,good,female,human,green,ginger,NA,NA,dc
257,Firebird,good,female,human,brown,burnette,165,56,marvel
258,Firelord,good,other,alien,white,blond,193,99,marvel
260,Firestorm,good,male,human,blue,ginger,189,92,dc
262,Fixer,bad,male,human,red,burnette,173,70,marvel
266,Flash III,good,male,human,NA,NA,183,86,dc
268,Forge,good,other,human,brown,burnette,183,81,marvel
270,Franklin Storm,good,other,human,blue,silver,188,92,marvel
271,Frenzy,bad,female,human,brown,burnette,211,104,marvel
272,Frigga,good,female,alien,blue,white,180,167,marvel
276,Garbage Man,good,male,human,blue,no hair,NA,NA,dc
278,General Zod,bad,male,alien,black,burnette,191,98,dc
279,Genesis,good,male,human,blue,blond,185,86,marvel
282,Giant-Man,good,male,human,blue,blond,183,84,marvel
284,Giganta,bad,female,NA,green,ginger,62.5,630,dc
286,Goblin Queen,bad,female,human,green,ginger,168,50,marvel
288,Gog,bad,male,diety,white,no hair,NA,NA,dc
291,Goliath,good,male,human,brown,burnette,183,91,marvel
295,Granny Goodness,bad,female,diety,blue,white,178,115,dc
300,Green Goblin II,bad,male,human,blue,ginger,178,77,marvel
302,Green Goblin III,good,male,human,green,burnette,178,79,marvel
303,Groot,good,male,alien,yellow,no hair,701,4,marvel
304,Guardian,good,male,human,brown,burnette,188,86,marvel
312,Hawk,good,male,human,red,burnette,185,89,dc
315,Hawkgirl,good,female,human,green,ginger,175,61,dc
316,Hawkman,good,male,human,blue,burnette,185,88,dc
317,Hawkwoman,good,female,human,green,ginger,175,54,dc
319,Hawkwoman II,good,female,human,blue,ginger,170,65,dc
324,Hellstorm,good,male,mixed-race,red,ginger,185,81,marvel
328,Hobgoblin,bad,male,human,blue,silver,180,83,marvel
329,Hollow,good,female,human,blue,ginger,170,NA,marvel
330,Hope Summers,good,female,human,green,ginger,168,48,marvel
331,Howard the Duck,good,male,animal,brown,no hair,79,18,marvel
334,Huntress,good,female,human,blue,burnette,180,59,dc
337,Hydro-Man,bad,male,human,brown,burnette,188,119,marvel
347,Iron Monger,bad,male,human,blue,no hair,196,104,marvel
348,Isis,good,female,human,brown,burnette,185,61,dc
358,Jennifer Kale,good,female,human,blue,blond,168,55,marvel
359,Jesse Quick,good,female,human,blue,blond,175,61,dc
360,Jessica Cruz,good,female,human,green,burnette,175,64,dc
363,Jigsaw,bad,male,human,blue,burnette,188,113,marvel
367,John Constantine,good,male,human,blue,blond,183,72,dc
369,John Wraith,good,male,human,brown,burnette,183,88,marvel
371,Jolt,good,female,human,blue,burnette,165,49,marvel
375,Junkpile,bad,male,human,NA,NA,NA,NA,marvel
379,Kang,bad,male,human,brown,burnette,191,104,marvel
383,Kevin 11,good,male,human,black,burnette,NA,NA,dc
385,Kid Flash,good,male,human,green,ginger,NA,NA,dc
388,Killer Frost,bad,female,human,blue,blond,163,56,dc
391,King Shark,bad,male,animal,black,no hair,218,172,dc
400,Lady Bullseye,bad,female,human,brown,burnette,168,54,marvel
402,Leader,bad,male,human,green,no hair,178,63,marvel
403,Leech,good,male,human,white,no hair,168,54,marvel
407,Light Lass,good,female,alien,blue,ginger,165,54,dc
408,Lightning Lad,good,male,human,blue,ginger,155,65,dc
409,Lightning Lord,bad,male,alien,blue,ginger,191,95,dc
410,Living Brain,bad,other,robot,yellow,no hair,198,360,marvel
420,Luna,good,female,human,blue,blond,117,21,marvel
421,Lyja,good,female,alien,green,green,168,59,marvel
423,Machine Man,good,other,robot,red,burnette,183,383,marvel
425,Magog,good,male,human,blue,blond,NA,NA,dc
426,Magus,bad,male,NA,white,white,183,109,marvel
429,Man-Thing,good,male,human,red,no hair,213,225,marvel
430,Man-Wolf,good,male,human,brown,ginger,188,90,marvel
434,Marvel Girl,good,female,human,green,ginger,170,56,marvel
437,Match,bad,male,mixed-race,black,burnette,NA,NA,dc
439,Maverick,good,male,human,blue,burnette,193,110,marvel
440,Maxima,bad,female,alien,brown,ginger,180,72,dc
443,Meltdown,good,female,human,blue,blond,165,54,marvel
444,Mephisto,bad,male,demon,white,burnette,198,140,marvel
447,Metamorpho,good,male,NA,black,no hair,185,90,dc
448,Meteorite,good,female,human,blue,blond,180,59,marvel
449,Metron,good,male,diety,blue,burnette,185,86,dc
452,Micro Lad,good,male,alien,silver,burnette,183,77,dc
453,Mimic,good,male,human,brown,burnette,188,101,marvel
455,Misfit,good,female,human,blue,ginger,NA,NA,dc
456,Miss Martian,good,female,alien,red,ginger,178,61,dc
458,Mister Freeze,bad,male,human,blue,no hair,183,86,dc
459,Mister Knife,bad,male,alien,blue,burnette,NA,NA,marvel
462,Mister Zsasz,bad,male,human,blue,blond,173,68,dc
465,Mogo,good,male,diety,NA,NA,NA,NA,dc
467,Moloch,bad,male,human,brown,mixed,NA,NA,dc
468,Molten Man,bad,male,human,yellow,blond,196,248,marvel
469,Monarch,good,male,human,blue,white,193,90,dc
472,Moonstone,bad,female,human,blue,blond,180,59,marvel
473,Morlun,bad,male,undead,mixed,burnette,188,79,marvel
474,Morph,good,male,human,white,no hair,178,79,marvel
475,Moses Magnum,bad,male,human,brown,burnette,175,72,marvel
478,Ms Marvel II,good,female,human,blue,ginger,173,61,marvel
479,Multiple Man,good,male,human,blue,burnette,180,70,marvel
482,Namor,good,male,mixed-race,mixed,burnette,188,126,marvel
484,Namora,good,female,mixed-race,blue,blond,180,85,marvel
485,Namorita,good,female,mixed-race,blue,blond,168,101,marvel
489,Negasonic Teenage Warhead,good,female,human,black,burnette,NA,NA,marvel
491,Nightcrawler,good,male,demon,yellow,purple,175,88,marvel
496,Northstar,good,male,human,blue,burnette,180,83,marvel
500,Offspring,good,male,human,black,burnette,NA,NA,dc
501,Omega Red,bad,male,human,red,blond,211,191,marvel
507,Osiris,good,male,human,brown,burnette,NA,NA,dc
509,Ozymandias,bad,male,human,blue,blond,NA,NA,dc
512,Penance,good,other,human,blue,blond,178,77,marvel
517,Phantom Stranger,good,male,human,black,mixed,188,84,dc
518,Phantom Girl,good,female,alien,blue,burnette,168,54,dc
521,Plastic Lad,good,male,human,NA,burnette,NA,NA,dc
523,Plastique,bad,female,human,blue,ginger,168,55,dc
527,Power Man,good,male,human,brown,burnette,175,73,marvel
531,Proto-Goblin,bad,male,human,green,blond,,86,marvel
535,Pyro,bad,male,human,blue,blond,178,68,marvel
540,Quill,good,male,mixed-race,brown,burnette,163,56,marvel
553,Red Skull,bad,male,human,blue,no hair,188,108,marvel
560,Rick Flag,bad,male,human,blue,burnette,185,85,dc
561,Riddler,bad,male,human,green,ginger,185,83,dc
562,Rip Hunter,good,male,human,blue,blond,NA,NA,dc
563,Ripcord,good,female,human,green,burnette,180,72,marvel
570,Rogue,good,female,human,green,mixed,173,54,marvel
574,Sage,good,female,human,blue,burnette,170,61,marvel
576,Sasquatch,good,male,human,red,ginger,305,900,marvel
583,Scorpia,bad,female,human,green,ginger,178,64,marvel
585,Sebastian Shaw,bad,male,human,blue,burnette,188,96,marvel
587,Shadow King,good,other,human,red,no hair,185,149,marvel
591,Shatterstar,good,male,NA,brown,ginger,191,88,marvel
595,Shriek,good,female,human,mixed,burnette,173,52,marvel
596,Shrinking Violet,good,female,alien,blue,burnette,157,43,dc
598,Silk,good,female,human,brown,burnette,170,59,marvel
599,Silk Spectre,good,female,human,brown,burnette,NA,NA,dc
602,Silverclaw,good,female,mixed-race,brown,burnette,157,50,marvel
603,Simon Baz,good,male,human,brown,burnette,180,83,dc
607,Siryn,bad,female,human,blue,blond,168,52,marvel
608,Skaar,good,male,alien,green,burnette,198,180,marvel
609,Snake-Eyes,bad,male,animal,NA,NA,NA,NA,marvel
610,Snowbird,good,female,diety,white,blond,178,49,marvel
611,Sobek,good,male,diety,white,no hair,NA,NA,dc
613,Songbird,good,female,human,green,mixed,165,65,marvel
614,Space Ghost,good,male,human,NA,NA,188,113,dc
616,Spectre,good,male,diety,white,no hair,NA,NA,dc
617,Speedball,good,male,human,blue,blond,178,77,marvel
618,Speedy (Male),good,male,human,NA,ginger,NA,NA,dc
619,Speedy (Female),good,female,human,green,burnette,NA,NA,dc
620,Spider-Carnage,bad,male,mixed-race,brown,burnette,178,76,marvel
628,Spider-Woman II,good,female,human,brown,burnette,173,55,marvel
629,Spider-Woman III,bad,female,human,red,white,178,58,marvel
634,Stardust,good,male,diety,white,no hair,213,NA,marvel
638,Steel,good,male,human,brown,no hair,201,131,dc
644,Superboy,good,male,mixed-race,blue,burnette,170,68,dc
648,Swamp Thing,bad,male,NA,red,no hair,NA,NA,dc
651,Synch,good,male,human,brown,burnette,180,74,marvel
657,Tempest,good,female,human,brown,burnette,163,54,marvel
664,Thunderbird,good,male,human,brown,burnette,185,101,marvel
666,Thunderbird II,good,male,human,brown,burnette,175,74,marvel
667,Thunderstrike,good,male,human,blue,blond,198,288,marvel
668,Thundra,good,female,human,green,ginger,218,158,marvel
670,Tigra,good,female,human,green,ginger,178,81,marvel
671,Tinkerer,bad,male,human,brown,white,163,54,marvel
678,Trigon,bad,male,diety,yellow,burnette,NA,NA,dc
679,Triplicate Girl,good,female,alien,purple,burnette,168,59,dc
681,Two-Face,bad,male,human,mixed,mixed,183,82,dc
682,Ultragirl,good,female,mixed-race,blue,blond,168,105,marvel
683,Ultron,bad,male,robot,red,no hair,206,331,marvel
685,Vagabond,good,female,human,blue,blond,168,54,marvel
687,Valkyrie,good,female,alien,blue,blond,191,214,marvel
688,Vanisher,bad,male,human,green,no hair,165,79,marvel
703,Vulcan,good,male,human,black,burnette,183,81,marvel
707,Warbird,good,female,mixed-race,blue,blond,180,54,marvel
708,Warlock,good,male,robot,red,blond,188,108,marvel
709,Warp,bad,male,human,brown,burnette,173,67,dc
712,The Watcher,good,male,diety,blue,no hair,NA,NA,marvel
714,White Canary,bad,female,human,brown,burnette,NA,NA,dc
715,White Queen,good,female,human,blue,blond,178,65,marvel
718,Wiz Kid,good,other,human,brown,burnette,140,39,marvel
719,Wolfsbane,good,female,mixed-race,green,ginger,366,473,marvel
722,Wonder Man,good,male,human,red,burnette,188,171,marvel
724,Wondra,good,female,human,brown,burnette,165,52,marvel
725,Wyatt Wingfoot,good,male,human,brown,burnette,196,117,marvel
727,X-Man,good,male,human,blue,burnette,175,61,marvel
728,Yellow Claw,bad,male,human,blue,no hair,188,95,marvel
731,Ymir,good,male,alien,white,no hair,304.8,NA,marvel
734,Zoom,bad,male,human,red,burnette,185,81,dc
