"","name","alignment","gender","race","eye","hair","height_cm","weight_kg","publisher"
"109","Blackout","bad","Male","Demon","red","White",191,104,"Marvel Comics"
"110","Blackwing","bad","Male",NA,"blue","Burnette",185,86,"Marvel Comics"
"111","Blackwulf","neutral","Male","Extraterrestrials","red","White",188,88,"Marvel Comics"
"112","Blade","good","Male","Undead","brown","Burnette",188,97,"Marvel Comics"
"113","Blaquesmith","good",NA,NA,"black","No Hair",NA,NA,"Marvel Comics"
"114","Bling!","good","Female",NA,NA,NA,168,68,"Marvel Comics"
"115","Blink","good","Female","Human","green","Purple",165,56,"Marvel Comics"
"116","Blizzard","bad","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"117","Blizzard","bad","Male",NA,NA,"Burnette",NA,NA,"Marvel Comics"
"118","Blizzard II","bad","Male",NA,"brown","Burnette",175,77,"Marvel Comics"
"119","Blob","bad","Male",NA,"brown","Burnette",178,230,"Marvel Comics"
"120","Bloodaxe","bad","Female","Human","blue","Burnette",218,495,"Marvel Comics"
"121","Bloodhawk","good","Male","Human","black","No Hair",NA,NA,"Marvel Comics"
"122","Bloodwraith","bad","Male",NA,"white","No Hair",30.5,NA,"Marvel Comics"
"123","Blue Beetle","good","Male",NA,"blue","Burnette",NA,NA,"DC Comics"
"124","Blue Beetle","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"125","Blue Beetle II","good","Male",NA,"blue","Burnette",183,86,"DC Comics"
"126","Blue Beetle III","good","Male","Human","brown","Burnette",NA,NA,"DC Comics"
"128","Bolt","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"130","Boom-Boom","good","Female","Human","blue","Blond",165,55,"Marvel Comics"
"131","Boomer","good","Female",NA,NA,NA,NA,NA,"Marvel Comics"
"132","Booster Gold","good","Male","Human","blue","Blond",196,97,"DC Comics"
"133","Box","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"134","Box III","good",NA,NA,"blue","Blond",193,110,"Marvel Comics"
"135","Box IV","good",NA,NA,"brown","Mixed",NA,NA,"Marvel Comics"
"136","Brainiac","bad","Male","Android/Cyborg","green","No Hair",198,135,"DC Comics"
"137","Brainiac 5","good","Male",NA,"green","Blond",170,61,"DC Comics"
"138","Brother Voodoo","good","Male","Human","brown","Mixed",183,99,"Marvel Comics"
"141","Bullseye","bad","Male","Human","blue","Blond",183,90,"Marvel Comics"
"142","Bumblebee","good","Female","Human","brown","Burnette",170,59,"DC Comics"
"143","Bumbleboy","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"144","Bushido","good","Male","Human",NA,NA,NA,NA,"DC Comics"
"145","Cable","good","Male","Human","blue","White",203,158,"Marvel Comics"
"146","Callisto","bad","Female",NA,"blue","Burnette",175,74,"Marvel Comics"
"148","Cannonball","good","Male",NA,"blue","Blond",183,81,"Marvel Comics"
"149","Captain America","good","Male","Human","blue","Blond",188,108,"Marvel Comics"
"150","Captain Atom","good","Male","Human","blue","Grey/Silver",193,90,"DC Comics"
"151","Captain Britain","good","Male","Human","blue","Blond",198,116,"Marvel Comics"
"152","Captain Cold","neutral","Male","Human","brown","Burnette",NA,NA,"DC Comics"
"155","Captain Mar-vell","good","Male",NA,"blue","Blond",188,108,"Marvel Comics"
"156","Captain Marvel","good","Female","Mixed-Race","blue","Blond",180,74,"Marvel Comics"
"157","Captain Marvel","good","Male","Human","blue","Burnette",193,101,"DC Comics"
"158","Captain Marvel II","good","Male","Human","blue","Burnette",175,74,"DC Comics"
"160","Captain Planet","good","Male","God/Demi-God/CosmicEntity/Planet","red","Green",NA,NA,"Marvel Comics"
"161","Captain Universe","good",NA,"God/Demi-God/CosmicEntity/Planet",NA,NA,NA,NA,"Marvel Comics"
"162","Carnage","bad","Male","Extraterrestrials","green","Red",185,86,"Marvel Comics"
"163","Cat","good","Female",NA,"blue","Blond",173,61,"Marvel Comics"
"164","Cat II","good","Female",NA,NA,NA,NA,NA,"Marvel Comics"
"165","Catwoman","good","Female","Human","green","Burnette",175,61,"DC Comics"
"166","Cecilia Reyes","good",NA,NA,"brown","Burnette",170,62,"Marvel Comics"
"167","Century","good","Male","Extraterrestrials","white","White",201,97,"Marvel Comics"
"168","Cerebra","good","Female","Human",NA,NA,NA,NA,"Marvel Comics"
"169","Chamber","good","Male","Human","brown","Burnette",175,63,"Marvel Comics"
"170","Chameleon","bad","Male",NA,NA,NA,NA,NA,"DC Comics"
"171","Changeling","bad","Male",NA,"brown","Burnette",180,81,"Marvel Comics"
"172","Cheetah","bad","Female","Human","green","Blond",163,50,"DC Comics"
"173","Cheetah II","bad","Female","Human","green","Burnette",170,55,"DC Comics"
"174","Cheetah III","bad","Female","Human","brown","Burnette",175,54,"DC Comics"
"177","Citizen Steel","good","Male","Human","green","Red",183,170,"DC Comics"
"179","Clea","good",NA,NA,NA,"White",NA,NA,"Marvel Comics"
"180","Cloak","good","Male",NA,"brown","Burnette",226,70,"Marvel Comics"
"181","Clock King","bad","Male","Human","blue","Burnette",178,78,"DC Comics"
"184","Colossal Boy","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"185","Colossus","good","Male","Human","grey/silver","Burnette",226,225,"Marvel Comics"
"186","Copycat","neutral","Female","Human","red","White",183,67,"Marvel Comics"
"187","Corsair","good","Male",NA,"brown","Burnette",191,79,"Marvel Comics"
"188","Cottonmouth","bad","Male","Human","brown","Burnette",183,99,"Marvel Comics"
"189","Crimson Crusader","good","Male",NA,"blue","Blond",NA,NA,"Marvel Comics"
"190","Crimson Dynamo","good","Male",NA,"brown","No Hair",180,104,"Marvel Comics"
"191","Crystal","good","Female","Human","green","Red",168,50,"Marvel Comics"
"194","Cyborg","good","Male","Android/Cyborg","brown","Burnette",198,173,"DC Comics"
"195","Cyborg Superman","bad","Male","Android/Cyborg","blue","Burnette",NA,NA,"DC Comics"
"196","Cyclops","good","Male","Human","brown","Burnette",191,88,"Marvel Comics"
"197","Cypher","good",NA,NA,"blue","Blond",175,68,"Marvel Comics"
"198","Dagger","good","Female",NA,"blue","Blond",165,52,"Marvel Comics"
"201","Daredevil","good","Male","Human","blue","Red",183,90,"Marvel Comics"
"202","Darkhawk","good","Male","Human","brown","Burnette",185,81,"Marvel Comics"
"204","Darkseid","bad","Male","God/Demi-God/CosmicEntity/Planet","red","No Hair",267,817,"DC Comics"
"206","Darkstar","good","Female","Human","brown","Blond",168,56,"Marvel Comics"
"211","Dazzler","good","Female","Human","blue","Blond",173,52,"Marvel Comics"
"212","Deadman","good","Male","Human","blue","Burnette",183,90,"DC Comics"
"213","Deadpool","neutral","Male","Human","brown","No Hair",188,95,"Marvel Comics"
"214","Deadshot","bad","Male","Human","brown","Burnette",185,91,"DC Comics"
"215","Deathlok","good","Male","Android/Cyborg","brown","Grey/Silver",193,178,"Marvel Comics"
"216","Deathstroke","neutral","Male","Human","blue","White",193,101,"DC Comics"
"217","Demogoblin","bad","Male","Demon","red","No Hair",185,95,"Marvel Comics"
"218","Destroyer","bad","Male",NA,NA,NA,188,383,"Marvel Comics"
"219","Diamondback","bad","Male","Human","brown","Burnette",193,90,"Marvel Comics"
"221","Doc Samson","good","Male","Human","blue","Green",198,171,"Marvel Comics"
"222","Doctor Doom","bad","Male","Human","brown","Burnette",201,187,"Marvel Comics"
"223","Doctor Doom II","bad","Male",NA,"brown","Burnette",201,132,"Marvel Comics"
"224","Doctor Fate","good","Male","Human","blue","Blond",188,89,"DC Comics"
"225","Doctor Octopus","bad","Male","Human","brown","Burnette",175,110,"Marvel Comics"
"226","Doctor Strange","good","Male","Human","grey/silver","Burnette",188,81,"Marvel Comics"
"227","Domino","good","Female","Human","blue","Burnette",173,54,"Marvel Comics"
"229","Donna Troy","good","Female","Amazon/Atlantean","blue","Burnette",175,63,"DC Comics"
"230","Doomsday","bad","Male","Extraterrestrials","red","White",244,412,"DC Comics"
"231","Doppelganger","bad","Male",NA,"white","No Hair",196,104,"Marvel Comics"
"232","Dormammu","bad","Male",NA,"yellow/gold","No Hair",185,NA,"Marvel Comics"
"233","Dr Manhattan","good","Male","Mixed-Race","white","No Hair",NA,NA,"DC Comics"
"234","Drax the Destroyer","good","Male","Human","red","No Hair",193,306,"Marvel Comics"
"235","Ego","bad",NA,NA,NA,NA,NA,NA,"Marvel Comics"
"237","Electro","bad","Male","Human","blue","Red",180,74,"Marvel Comics"
"238","Elektra","good","Female","Human","blue","Burnette",175,59,"Marvel Comics"
"240","Elongated Man","good","Male",NA,"blue","Red",185,80,"DC Comics"
"241","Emma Frost","good","Female",NA,"blue","Blond",178,65,"Marvel Comics"
"242","Enchantress","good","Female","Human","blue","Blond",168,57,"DC Comics"
"244","ERG-1","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"246","Etrigan","neutral","Male","Demon","red","No Hair",193,203,"DC Comics"
"247","Evil Deadpool","bad","Male","Human","white","Red",188,95,"Marvel Comics"
"248","Evilhawk","bad","Male","Extraterrestrials","red","Burnette",191,106,"Marvel Comics"
"249","Exodus","bad","Male","Human","blue","Burnette",183,88,"Marvel Comics"
"250","Fabian Cortez","bad",NA,NA,"blue","Burnette",196,96,"Marvel Comics"
"251","Falcon","good","Male","Human","brown","Burnette",188,108,"Marvel Comics"
"252","Fallen One II","bad","Male",NA,"black","Blue",NA,NA,"Marvel Comics"
"253","Faora","bad","Female","Extraterrestrials",NA,NA,NA,NA,"DC Comics"
"254","Feral","good",NA,NA,"yellow/gold","Mixed",175,50,"Marvel Comics"
"255","Fighting Spirit","good","Female",NA,NA,"Red",NA,NA,"DC Comics"
"256","Fin Fang Foom","good","Male","Extraterrestrials","red","No Hair",975,18,"Marvel Comics"
"257","Firebird","good","Female",NA,"brown","Burnette",165,56,"Marvel Comics"
"258","Firelord","good",NA,NA,"white","Blond",193,99,"Marvel Comics"
"259","Firestar","good","Female","Human","green","Red",173,56,"Marvel Comics"
"260","Firestorm","good","Male",NA,"brown","Burnette",NA,NA,"DC Comics"
"261","Firestorm","good","Male","Human","blue","Red",188,91,"DC Comics"
"262","Fixer","bad",NA,NA,"red","No Hair",NA,NA,"Marvel Comics"
"263","Flash","good","Male","Human","blue","Mixed",180,81,"DC Comics"
"265","Flash II","good","Male","Human","blue","Blond",183,88,"DC Comics"
"266","Flash III","good","Male","Human",NA,NA,183,86,"DC Comics"
"267","Flash IV","good","Male","Human","yellow/gold","Red",157,52,"DC Comics"
"268","Forge","good",NA,NA,"brown","Burnette",183,81,"Marvel Comics"
"269","Franklin Richards","good","Male","Human","blue","Blond",142,45,"Marvel Comics"
"270","Franklin Storm","good",NA,NA,"blue","Grey/Silver",188,92,"Marvel Comics"
"271","Frenzy","bad","Female",NA,"brown","Burnette",211,104,"Marvel Comics"
"272","Frigga","good","Female",NA,"blue","White",180,167,"Marvel Comics"
"273","Galactus","neutral","Male","God/Demi-God/CosmicEntity/Planet","black","Burnette",876,16,"Marvel Comics"
"274","Gambit","good","Male","Human","red","Burnette",185,81,"Marvel Comics"
"275","Gamora","good","Female","Mixed-Race","yellow/gold","Burnette",183,77,"Marvel Comics"
"276","Garbage Man","good","Male","Human",NA,NA,NA,NA,"DC Comics"
"278","General Zod","bad","Male","Extraterrestrials","black","Burnette",NA,NA,"DC Comics"
"279","Genesis","good","Male",NA,"blue","Blond",185,86,"Marvel Comics"
"280","Ghost Rider","good","Male","Demon","red","No Hair",188,99,"Marvel Comics"
"281","Ghost Rider II","good",NA,NA,NA,NA,NA,NA,"Marvel Comics"
"282","Giant-Man","good","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"283","Giant-Man II","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"284","Giganta","bad","Female",NA,"green","Red",62.5,630,"DC Comics"
"285","Gladiator","neutral","Male","Extraterrestrials","blue","Blue",198,268,"Marvel Comics"
"286","Goblin Queen","bad","Female",NA,"green","Red",168,50,"Marvel Comics"
"288","Gog","bad","Male",NA,NA,NA,NA,NA,"DC Comics"
"290","Goliath","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"291","Goliath","good","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"292","Goliath","good","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"293","Goliath IV","good","Male",NA,"brown","Burnette",183,90,"Marvel Comics"
"294","Gorilla Grodd","bad","Male","Animal","yellow/gold","Burnette",198,270,"DC Comics"
"295","Granny Goodness","bad","Female",NA,"blue","White",178,115,"DC Comics"
"296","Gravity","good","Male","Human","blue","Burnette",178,79,"Marvel Comics"
"298","Green Arrow","good","Male","Human","green","Blond",188,88,"DC Comics"
"299","Green Goblin","bad","Male","Human","blue","Red",180,83,"Marvel Comics"
"300","Green Goblin II","bad","Male",NA,"blue","Red",178,77,"Marvel Comics"
"301","Green Goblin III","good","Male",NA,NA,NA,183,88,"Marvel Comics"
"302","Green Goblin IV","good","Male",NA,"green","Burnette",178,79,"Marvel Comics"
"303","Groot","good","Male","Extraterrestrials","yellow/gold",NA,701,4,"Marvel Comics"
"304","Guardian","good","Male","Human","brown","Burnette",NA,NA,"Marvel Comics"
"305","Guy Gardner","good","Male","Mixed-Race","blue","Red",188,95,"DC Comics"
"306","Hal Jordan","good","Male","Human","brown","Burnette",188,90,"DC Comics"
"309","Harley Quinn","bad","Female","Human","blue","Blond",170,63,"DC Comics"
"311","Havok","good","Male","Human","blue","Blond",183,79,"Marvel Comics"
"312","Hawk","good","Male",NA,"red","Burnette",185,89,"DC Comics"
"313","Hawkeye","good","Male","Human","blue","Blond",191,104,"Marvel Comics"
"314","Hawkeye II","good","Female","Human","blue","Burnette",165,57,"Marvel Comics"
"315","Hawkgirl","good","Female",NA,"green","Red",175,61,"DC Comics"
"316","Hawkman","good","Male",NA,"blue","Burnette",185,88,"DC Comics"
"317","Hawkwoman","good","Female",NA,"green","Red",175,54,"DC Comics"
"318","Hawkwoman II","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"319","Hawkwoman III","good","Female",NA,"blue","Red",170,65,"DC Comics"
"320","Heat Wave","bad","Male","Human","blue","No Hair",180,81,"DC Comics"
"321","Hela","bad","Female","Extraterrestrials","green","Burnette",213,225,"Marvel Comics"
"323","Hellcat","good","Female","Human","blue","Red",173,61,"Marvel Comics"
"324","Hellstorm","good","Male",NA,"red","Red",185,81,"Marvel Comics"
"325","Hercules","good","Male","God/Demi-God/CosmicEntity/Planet","blue","Burnette",196,146,"Marvel Comics"
"328","Hobgoblin","bad","Male",NA,"blue","Grey/Silver",180,83,"Marvel Comics"
"329","Hollow","good","Female",NA,"blue","Red",170,NA,"Marvel Comics"
"330","Hope Summers","good","Female",NA,"green","Red",168,48,"Marvel Comics"
"331","Howard the Duck","good","Male",NA,"brown","Blond",79,18,"Marvel Comics"
"332","Hulk","good","Male","Human","green","Green",244,630,"Marvel Comics"
"333","Human Torch","good","Male","Human","blue","Blond",178,77,"Marvel Comics"
"334","Huntress","good","Female",NA,"blue","Burnette",180,59,"DC Comics"
"335","Husk","good","Female","Human","blue","Blond",170,58,"Marvel Comics"
"336","Hybrid","good","Male","Extraterrestrials","brown","Burnette",175,77,"Marvel Comics"
"337","Hydro-Man","bad","Male",NA,"brown","Burnette",188,119,"Marvel Comics"
"338","Hyperion","good","Male","Extraterrestrials","blue","Red",183,207,"Marvel Comics"
"339","Iceman","good","Male","Human","brown","Burnette",173,65,"Marvel Comics"
"340","Impulse","good","Male","Human","yellow/gold","Red",170,65,"DC Comics"
"342","Indigo","neutral","Female","Extraterrestrials",NA,"Purple",NA,NA,"DC Comics"
"343","Ink","good","Male","Human","blue","No Hair",180,81,"Marvel Comics"
"344","Invisible Woman","good","Female","Human","blue","Blond",168,54,"Marvel Comics"
"345","Iron Fist","good","Male","Human","blue","Blond",180,79,"Marvel Comics"
"346","Iron Man","good","Male","Human","blue","Burnette",198,191,"Marvel Comics"
"347","Iron Monger","bad","Male",NA,"blue","No Hair",NA,2,"Marvel Comics"
"348","Isis","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"350","Jack of Hearts","good","Male","Human","heterochromia","Burnette",155,79,"Marvel Comics"
"356","Jean Grey","good","Female","Human","green","Red",168,52,"Marvel Comics"
"358","Jennifer Kale","good","Female",NA,"blue","Blond",168,55,"Marvel Comics"
"359","Jesse Quick","good","Female","Human",NA,NA,NA,NA,"DC Comics"
"360","Jessica Cruz","good","Female","Human","green","Burnette",NA,NA,"DC Comics"
"361","Jessica Jones","good","Female","Human","brown","Burnette",170,56,"Marvel Comics"
"363","Jigsaw","bad","Male",NA,"blue","Burnette",188,113,"Marvel Comics"
"367","John Constantine","good","Male","Human","blue","Blond",183,NA,"DC Comics"
"368","John Stewart","good","Male","Human","green","Burnette",185,90,"DC Comics"
"369","John Wraith","good","Male",NA,"brown","Burnette",183,88,"Marvel Comics"
"370","Joker","bad","Male","Human","green","Green",196,86,"DC Comics"
"371","Jolt","good","Female",NA,"blue","Burnette",165,49,"Marvel Comics"
"372","Jubilee","good","Female","Human","red","Burnette",165,52,"Marvel Comics"
"374","Juggernaut","neutral","Male","Human","blue","Red",287,855,"Marvel Comics"
"375","Junkpile","bad","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"376","Justice","good","Male","Human","hazel","Burnette",178,81,"Marvel Comics"
"379","Kang","bad","Male",NA,"brown","Burnette",191,104,"Marvel Comics"
"380","Karate Kid","good","Male","Human","brown","Burnette",173,72,"DC Comics"
"383","Kevin 11","good","Male","Human",NA,"Burnette",NA,NA,"DC Comics"
"385","Kid Flash","good","Male","Human","green","Red",NA,NA,"DC Comics"
"386","Kid Flash II","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"387","Killer Croc","bad","Male","Human","red","No Hair",244,356,"DC Comics"
"388","Killer Frost","bad","Female","Human","blue","Blond",NA,NA,"DC Comics"
"389","Kilowog","good","Male","Extraterrestrials","red","No Hair",234,324,"DC Comics"
"391","King Shark","bad","Male","Animal","black","No Hair",NA,NA,"DC Comics"
"392","Kingpin","bad","Male","Human","blue","No Hair",201,203,"Marvel Comics"
"393","Klaw","bad","Male","Human","red","No Hair",188,97,"Marvel Comics"
"395","Kraven II","bad","Male","Human","brown","Burnette",191,99,"Marvel Comics"
"396","Kraven the Hunter","bad","Male","Human","brown","Burnette",183,106,"Marvel Comics"
"397","Krypto","good","Male","Extraterrestrials","blue","White",64,18,"DC Comics"
"398","Kyle Rayner","good","Male","Human","green","Burnette",180,79,"DC Comics"
"400","Lady Bullseye","bad","Female",NA,NA,"Burnette",NA,NA,"Marvel Comics"
"401","Lady Deathstrike","bad","Female","Android/Cyborg","brown","Burnette",175,58,"Marvel Comics"
"402","Leader","bad","Male",NA,"green","No Hair",178,63,"Marvel Comics"
"403","Leech","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"404","Legion","good","Male","Human","heterochromia","Burnette",175,59,"Marvel Comics"
"406","Lex Luthor","bad","Male","Human","green","No Hair",188,95,"DC Comics"
"407","Light Lass","good","Female",NA,"blue","Red",165,54,"DC Comics"
"408","Lightning Lad","good","Male",NA,"blue","Red",155,65,"DC Comics"
"409","Lightning Lord","bad","Male",NA,"blue","Red",191,95,"DC Comics"
"410","Living Brain","bad",NA,NA,"yellow/gold",NA,198,360,"Marvel Comics"
"411","Living Tribunal","neutral",NA,"God/Demi-God/CosmicEntity/Planet","blue","No Hair",NA,NA,"Marvel Comics"
"413","Lizard","bad","Male","Human","red","No Hair",203,230,"Marvel Comics"
"414","Lobo","neutral","Male","Extraterrestrials","red","Burnette",229,288,"DC Comics"
"415","Loki","bad","Male","Extraterrestrials","green","Burnette",193,236,"Marvel Comics"
"416","Longshot","good","Male","Human","blue","Blond",188,36,"Marvel Comics"
"417","Luke Cage","good","Male","Human","brown","Burnette",198,191,"Marvel Comics"
"420","Luna","good","Female","Human",NA,NA,NA,NA,"Marvel Comics"
"421","Lyja","good","Female",NA,"green","Green",NA,NA,"Marvel Comics"
"422","Mach-IV","bad","Male",NA,"brown","Burnette",180,79,"Marvel Comics"
"423","Machine Man","good",NA,NA,"red","Burnette",183,383,"Marvel Comics"
"424","Magneto","bad","Male","Human","grey/silver","White",188,86,"Marvel Comics"
"425","Magog","good","Male",NA,"blue","Blond",NA,NA,"DC Comics"
"426","Magus","bad","Male",NA,"black",NA,183,NA,"Marvel Comics"
"428","Man-Bat","neutral","Male","Human","brown","Burnette",NA,NA,"DC Comics"
"429","Man-Thing","good","Male",NA,"red","No Hair",213,225,"Marvel Comics"
